tensor(251920.8750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119829.2500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(130724.2734, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(123335.1172, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(127249.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(133194.7656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(111039.6797, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(117939.3984, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(134793.0469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(124410.8828, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(128610.9141, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(144660.9219, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(126996.3203, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(122556.8438, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(116416.2031, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(130358., device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(132301.4688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(124261.0391, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(129626.2422, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(116767.3438, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(129988.5312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(128994.9375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(123271.8281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(126420.7188, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(140357.2188, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(126606.7344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(137795.9688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(131720., device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(123026.0859, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(116597.0391, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(116003.2344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(106910.5938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(115664.9219, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(121260.4062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(120695.3594, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119080.0234, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(124452.5156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(134563.9688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(117925.9219, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(128421.8203, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(128944.0781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(132973.8906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(112580.5078, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(130755.6953, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(116984.5000, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(122114.4922, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(128123.6562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(125829.3047, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119472.5000, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(113396.7578, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(124039.9922, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(120458.1641, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(128811.4062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(129291.6641, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(114297.2734, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119260.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(103800.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(122212.5938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(138925.0469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(124433.1562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(113636.6875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(114241.4062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(129846.9609, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(114191.6250, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(125738.5625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(123245.5000, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(118752.2422, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(117521.6562, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(109797.4766, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(133733.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(113350., device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(124721.5781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(123536.6094, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119170.7656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(109622.7812, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(120543.1406, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119279.7969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(115208.6797, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(114614.9297, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(115073.6953, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(114626.7344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(101313.4062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(103994.3984, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119822.7031, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(121691.0469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(122404.7422, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119062.3750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119696.0703, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(124495.1953, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(120227.4922, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(123317.5156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(131273.1875, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(108237.2969, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(116415.2344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(112055.6719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(123793.0938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119355.1484, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(104301.8906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(118725.3516, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(103064.3828, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(105578.9297, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(124773.3359, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(121409.8203, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(110517.5859, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(121511.9922, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(106895.5781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(106304.0781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(120562.9766, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(114190.1641, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(105101.0781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(112436.3906, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(120325., device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(108167.0703, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(105716.2578, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(113620.0312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(123662.4375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(105353.5938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(113825.7500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(100013.7344, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(106880.2422, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(116911.3594, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(113068.8438, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(110121.4453, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(113517.9453, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(103040.4062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(113599.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(120066.1328, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(110652.6641, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(112466.5703, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(101673.9922, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(100345.2734, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(118291.8594, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(105461.2500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(112724.7656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(104534.2422, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(101660.8125, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(107389.5078, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(107640.2422, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(118471.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(100631.5078, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(114732.4375, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(101048.2031, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(113929.2500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(106134.5000, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(113025.5625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(96499.2109, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(108291.9844, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(102509.5938, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(97425.0781, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(125293.9844, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(109273.4609, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(115228.8047, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(112853.9609, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(116097.5234, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(108061.3516, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(108721.0156, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(117195.9688, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(101430.3750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(114074.9844, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(102660.9297, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(95172.6016, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(122991.7422, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(109707.8828, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(118477.5625, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(101649.4297, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(107178.7891, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(97893.6641, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(109544.6953, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(114070.0234, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(115329.2500, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(110449.0312, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(103320.0469, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(100362.1484, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(98901.4453, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(119224.8984, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(99704.7266, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(95719.6641, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(107986.8438, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(108892.8750, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(105309.3672, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(105837.6641, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(93756.8594, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(103866.2109, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(105157.1797, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(101174.3203, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(109804.4062, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(98746.3281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(105886.4609, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(98923.8281, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(116365.2031, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(110594.5078, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(93687.4609, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(105744.6719, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(106820.6172, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(92246.3516, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(108079.4297, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(94126.2656, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(87763.6797, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
tensor(97188.8125, device='cuda:0', grad_fn=<AddBackward0>) torch.Size([])
